manufacturer_keywords,product_keywords,Unique Identifier 
ajay biotech india ,pathofind  realtime ,1271
alamar tecno cientifica a,antigen quick ,43
alchem diagnostics coimbatore, one step multiplex ,1272
alcotech  ,fastep  antigen rapid  device nasopharyngeal oropharyngeal swab,279
alfa scientific designs ,instant view plus  antigen ,353
alfresa pharma corporation,arsonic  ag,54
alpine biomedicals ambalaharyana india ,one step corona virus igmigg antibody  ,1163
alpine biomedicals pvt  ambala haryana india,alpine  antigen rapid  ,"37,1223"
alpine biomedicals pvt  ambala haryana india,alpine anti igg elisa ,1204
altona diagnostics germany,realstar  10,1273
altona diagnostics gmbh,realstar us,570
ameda labordiagnostik gmbh,amp rapid  ag,39
amedica sa,amela  antigen ,38
ammagen tamil nadu,ammagen ,1274
amonmed biotechnology ,influenza virusinfluenza virus rare earth nano fluorescence immunochromatography,222
amoy diagnostics,amoydx novel coronavirus 2019 detection ,977
amt   singapore,resolute 20,579
angstrom biotech pvt ,antigen  ,44
angstrom biotech pvt  alwar rajasthan india,angcard  rapid antigen  ,1220
angstrom biotech pvt  rajasthan,angpcr 2019 ncov,1275
angstrom biotechpvt ,angcardhome  ,1112
anhui deepblue medical technology , antigen colloidal gold  saliva,148
anhui deepblue medical technology , antigen colloidal gold  saliva self ,149
anhui deepblue medical technology , antigen colloidal gold nasal swab self ,147
anhui deepblue medical technology , antigen colloidal gold np,146
anhui formaster biosci ,fm new coronavirus  antigen rapid ,829
anomalous materials  ,severe acute respiratory syndrome coronavirus 2 antigen detection  colloidal gold based,660
anp technologies ,nids  antigen rapid  ,439
apollo biomedical ,new type coronavirus  influenza virus  influenza virus detection ,437
apollo biomedical ,novel coronavirus antigen detection  nasal swabsputum sample,460
apollo biomedical ,novel coronavirus antigen detection nasal swab,458
apollo biomedical ,novel coronavirus antigen detection sputum sample,459
applied biocode ,biocode assay,84
applied dna sciences,linea  real time assay  assay ,"380,381,382"
arcdia international ,maripoc  ,405
arista biotech,arista  antigen rapid ,52
arista biotech   singapore,arista  antigenrapid ,53
arkray factory ,identity pack  ,331
arkray industry lot 22 phase 1a first philippine industrial park brgy sta anastacia sto tomas batangas,  detection primer probe set reagent densy pack universal detection system,1011
arkray industry lot 22 phase 1a first philippine industrial park brgy sta anastacia sto tomas batangas,i densy pack universal reagent densy pack universal detection system,1010
artron bioresearch artron laboratories ,artron  antigen  ,56
artron laboratories ,star diagnostic plus  iggigm cassette  whole bloodserumplasma,839
artron laboratories  canada,artron  antigen ,55
asan pharmaceutical ,asan easy ag,57
aspen laboratories pvt  hyderabad telangana india,aspen igg elisa ,1197
aspen laboratories pvt  new delhi deep meditech pvt ,aspen nucelic acid detection fluorescent probe method,1276
assure tech hangzhou ,assure  iggigm rapid  device,58
assure tech hangzhou ,assure  iggigm rapid  device rebranded as ecotest  iggigm rapid  device,59
assure tech hangzhou ,assure  iggigm rapid  device rebranded as fastep  iggigm rapid  device,60
assure tech hangzhou ,ecotest iggigm rapid  device whole bloodserumplasma,791
assure tech hangzhou  china, antigen rapid  device,184
assure tech hangzhou  china,ecotest  antigen nasal  ,253
