,manufacturer_keywords,product_keywords,Unique Identifier 
433,genbody  south korea,genbody  ag rapid poct,1221
434,gencurix ,genepro ,307
435,gencurix 402 908 910 digitalroad 242 gorugo seoul 08394 republic of korea,genepro ,1013
436,gene path diagnostics pune india,genepathx one qpcr v211,1311
437,gene proof czech republic,gene proof ,1312
438,gene proof czech republic,gene proof screening ,1313
439,genedrive diagnostics,genedrive 96  genedrive  bio plate genedrive  fast plate genedrive  low profile,997
440,genedrive diagnostics limited uk,96 ,1314
441,genematrix,neoplex detection  ,968
442,genematrix ,neoplex  detection ,433
443,geneohm sciences canada  ta bd diagnostics,bd reagents  bd max system ,918
444,general biologicals corp,gb real time  pcr,296
445,general biologicals corporation taiwan,gb real time  orf1ab gene  ic,1315
446,genereach biotechnology corporation taiwan padmanabha labs pvt ,iq real qualitative system,1316
447,genes 2 me private limited,genes2me  flu one step ,1317
448,genes 2 me private limited,genes2me direct multiplex real time  ,1318
449,genes 2 me private limited,tect multiplex   ,1319
450,genes 2 me private limited,viraldtect ii multiplex real time ,1320
451,genes 2 me private limited,viraldtect multiplex real time ,1321
452,genes2me pvt  gurugram haryana,rapi rapid ag  ,548
453,genes2me pvt  gurugram haryanaindia,rapi rapid ag  ,1126
454,genesprint group ,  antigen rapid colloidal gold,620
455,genestore france,detection expert 1s  one step rrt ,1325
456,genestore india private limited gurgaon,detection direct 2 gene rrt detection assay genestore france,1322
457,genestore india private limited gurgaon,detection expert  2 rrt detection assay,1323
458,genestore india private limited gurgaon,detection expert  rrt detection assay genestore france,1324
459,genesystem  south korea genetix biotech asia pvt ,smartchek novel coronavirus detection ,1326
460,genetic signatures  australia,easyscreen  detection ,251
461,genetix biotech asia pvt  new delhi,covi quick  real time ,1328
462,genetix biotech asia pvt  new delhi,covinat novel coronavirus detection ,1327
463,genetix biotech asia pvt  new delhi,covisure  real time ,1331
464,genetix biotech asia pvt  new delhi,covisure lyo mix 19 real time ,1329
465,genetix biotech asia pvt  new delhi,covisure media direct extraction  real time ,1332
466,genetix biotech asia pvt  new delhi,covisure media direct extraction  real time  100 s,1333
467,genetix biotech asia pvt  new delhi,covisure version 20 19 real time ,1330
468,genetron health beijing ,genetron rna ,"308,309"
469,genmark diagnostics ,eplex ,263
470,genome diagnostics pvt  new delhi india,genosensn019 real time ,1334
471,genores biotech pvt  maharashtra india,genocov,1335
472,genosensor ,gs  ,315
473,genrui biotech ,  and fluaflub antigen  ,603
474,genrui biotech ,  antigen colloidal gold,625
475,genrui biotech ,  nasalsaliva antigen colloidal gold,636
476,genrui biotech ,eaglecare crea reagent  sarcosinase oxidase method,816
477,genrui biotech ,genrui crea reagent  sarcosine oxidase method,822
478,genspeed biotech, ag xpoc,161
479,gensure biotech ,fluab antigen combo rapid  p2007,220
480,gensure biotech ,gensure  antigen rapid  ref p2004,310
481,genuine biosystem pvt  chennai tamilnadu india,gblisa  s1 rbd igg elisa  ,1203
482,getein biotech ,gp one step  antigencolloidal gold,817
483,getein biotech no 9 bofu road luhe district nanjing china,one step  antigen  colloidal gold selt  ,1110
484,gland pharma  hyderabad,rt  ,1336
485,gnomegen , digital pcrdetection ,212
486,gold analyses diagnostica, ag oral rapid ,155
487,gold analyses diagnostica, ag rapid ,156
488,goldsite diagnostics ,  antigen  colloidal gold,611
489,green cross medical science corp,genedia  ag,304
490,green cross medical science corp,genedia quantum  ag,303
491,grifols diagnostic solutions ,procleix assay,508
492,guangdong ardent biomed  hong kong biotime healthcare private limited,novel coronavirus  nucleic acid detection  fluorescent probe,1337
493,guangdong hecin scientific ,hecin 2019 antigen colloidal gold method,826
494,guangdong hecin scientific ,hecin 2019 nucleic acid  fluorescence probe method,841
495,guangdong huayin medicine science ,huaruain biology detection  ,944
496,guangdong longsee,2019 ag rapid detection ,2
497,guangzhou decheng biotechnology ,the chek 2019 ag rapid  ,718
498,guangzhou decheng biotechnology  china,2019 ag saliva rapid  card,5
499,guangzhou fenghua bioengineering co, antigen rapid  colloidal gold,800
500,guangzhou wondfo biotech , ag saliva rapid ,158
501,guangzhou wondfo biotech ,celer finecare ag ,112
502,guangzhou wondfo biotech ,celer wondfo ag rapid ,113
503,guangzhou wondfo biotech ,fastbio rbd 2019 neutralizing antibody ,824
504,guangzhou wondfo biotech ,finecare 2019 antigen ,859
505,guangzhou wondfo biotech ,finecare 2019 rbd antibody ,792
506,guangzhou wondfo biotech ,finecare ag ,281
507,guangzhou wondfo biotech  china,  antibody  lateral flow method,604
508,guangzhou wondfo biotech  china,2019 antigen  lateral flow method,11
509,guangzhou wondfo biotech  no 8 lizhishan road science city luogang district 510663 guangzhou china,finecare  iggigm  devicecodes w278,778
510,guangzhou wondfo biotech  no 8 lizhishan road science city luogang district 510663 guangzhou china,wondfo 2019 antigen  devicelateral flow methodw196,787
511,guangzhou wondfo biotech  no 8 lizhishan road science city luogang district 510663 guangzhou china,wondfo 2019 real time assay w275p002,788
512,guangzhou wondfo biotech r roofs private  abbott laboratories zydus cadilla,  antibody  lateral flow method,1184
513,ha tech biopharma diagnostics australia rlt group services,  multiplex diagnostic ,1338
514,ha tech pty ,rt ivd medical device 2019 novel coronavirus  2 nucleic acid detection,589
515,hain lifescience gmbh,fluorotype plus ver 10  use with the gxt96 x3 extraction ,998
516,hangzhou alltest biotech ,  antigen rapid  cassette self ing ce1434 otc nasal swab,617
517,hangzhou alltest biotech ,  antigen rapid  with lf reader nasopharyngeal swabnasal swab,623
518,hangzhou alltest biotech ,  flu ab antigen combo rapid  cassette nasopharyngeal swab,151
519,hangzhou alltest biotech , antigen  cassette fia nasopharyngeal swab,190
520,hangzhou alltest biotech , antigen rapid  cassette nasal swab,180
521,hangzhou alltest biotech , antigen rapid  cassette nasopharyngeal swab,181
522,hangzhou alltest biotech , antigen rapid  cassette oral fluid,182
523,hangzhou alltest biotech , antigen rapid  oral fluid 802,176
524,hangzhou alltest biotech , antigen rapid  oral fluid self  802h,177
525,hangzhou alltest biotech , antigen rapid  swab 502,178
526,hangzhou alltest biotech , flu ab antigen combo rapid  cassette swab,599
527,hangzhou alltest biotech ,beright  iggigm rapid ,861
528,hangzhou alltest biotech ,fluabrsvadnomp antigen combo rapid ,221
529,hangzhou alltest biotech ,gsd novagen rapid ,317
530,hangzhou alltest biotech  china,2019  iggigm rapid  cassette,3
531,hangzhou biotest biotech ,lumiratek  ag,394
532,hangzhou biotest biotech ,medtest coronavirus  ag rapid ,414
533,hangzhou biotest biotech  china, iggigm rapid  cassette,199
534,hangzhou biotest biotech  china,rightsign  iggigm rapid  cassette,585
535,hangzhou biotest biotech  china distributed cliawaived ,rightsign  iggigm rapid  cassette rebranded tocoronachek iggigm rapid  cassette,586
536,hangzhou biotest biotech  china distributed premier biotech ,rightsign  iggigm rapid  cassette rebranded topremier biotech  iggigm rapid  cassette,587
537,hangzhou biotest biotech no  china, antigen rapid  cassette,179
538,hangzhou clongene biotech , antigen rapid  cassette saliva,183
539,hangzhou clongene biotech , influenza ab antigen combo rapid  cassette,206
540,hangzhou clongene biotech ,clungene  antigen rapid ,130
541,hangzhou clongene biotech  china, iggigm rapid  cassette,200
542,hangzhou deangel biological engineering ,novel coronavirus glycoprotein detection ,461
543,hangzhou fenhe technology ,reopentest  antigen rapid ,572
544,hangzhou laihe biotech ,lyher novel coronavirus  antigen colloidal gold nasal,399
545,hangzhou laihe biotech ,lyher novel coronavirus  antigen colloidal gold no,400
546,hangzhou laihe biotech ,lyher novel coronavirus  antigen colloidal gold saliva,401
547,hangzhou laihe biotech ,lyher novel coronavirus  antigen colloidal gold self ,402
548,hangzhou laihe biotech  china,lyher novel coronavirus  antigen colloidal gold,398
549,hangzhou laihe biotech  china,lyher novel coronavirus 2019 igmiggantibodycombo colloidal gold,396
550,hangzhou laihe biotech  china distributed unisources group ,lyher novel coronavirus 2019 igmiggantibodycombo colloidal gold rebranded quickkit novel coronavirus 2019  igmigg antibody combo  ,397
551,hangzhou lysun biotechnology ,altamed  rapid  ,796
552,hangzhou lysun biotechnology ,altamed  rapid antigen,832
553,hangzhou realy tech ,novel coronavirus antigen rapid ,454
554,hangzhou realy tech  china,2019 iggigm rapid  device,15
555,hangzhou realy tech  china,novel coronavirus antigen rapid  cassette swab,452
556,hangzhou singclean medical products , rapid antigen ,209
557,hangzhou testsea biotechnology  china,cellife  antigen  cassette,115
558,hangzhou testsea biotechnology  china,testsea antigen  ,717
559,healgen scientific ,rapid  antigen ,550
560,healgen scientific limited liability company united states of america, iggigm rapid  cassette,201
561,healgen scientific limited liability company3818 fuqua street houston tx 77047 usa,healgen coronavirus ag rapid  cassette swab,1069
562,healthgroup medical  ,v code encode antigen rapid  device,731
563,hecin scientific ,hecin  antigen  ,319
564,helini biomolecules chennai,helini coronavirus real time  rdrp orf gene  dual target  single tube assay,1339
565,helini biomolecules chennai india,helini coronavirus  real time ,1340
566,helix opco  dba helix,helix   ag rapid  ,320
567,himedia laboratories private limited mumbai,hi  detection  dry swab method,1341
568,himedia laboratories pvt ,hi  triplex probe ,1342
569,himedia laboratories pvt ,hi coronavirus  multiplex probe ,1343
570,himedia laboratories pvt  mumbai maharashtra india,elisafe19  igg elisa detection ,1201
571,hll lifecare limited gurugramindia india ,makesure  rapid ,1160
572,hologic ,aptima assay,46
573,hologic ,panther fusion ,490
574,hologic 10210 genetic center drive san diego ca usa,aptima assay,1017
575,hoyotek biomedical ,corona virus  antigen rapid  colloidal gold,134
576,hoyotek biomedical ,influenza abcorona virus  antigen rapid  colloidal gold,346
577,huaruian biology ,genenostics detection  2019 rna multiple fluorescence probing lyophilised,988
578,hubei jinjian biology ,jinjian antigen colloidal gold method,808
579,humasis,humasis  ag ,325
580,humasis,humasis  ag home ,324
581,humasis,humasis flu ag combo ,326
582,humasis ,humasis  ag ,797
583,humasis ,humasis  iggigm ,844
584,humasis  distributed celltrion usa ,celltrion diatrust ag rapid ,117
585,humasis co,humasis  lgglgm antibody  ,903
586,humedix,accurate rapid  igmigg combo ,908
587,hunan lituo biotechnology ,2019 antigen rapid  cassette,8
588,hunan runmei gene technology  room 4011 building 3 shanhe medicalhealth industrial park no 1048 zhongqing road shaping street kalfu district changsha hunan prove china,  and variants nucleic acid detection ,1018
589,hunan runmei gene technology  room 4011 building 3 shanhe medicalhealth industrial park no 1048 zhongqing road shaping street kalfu district changsha hunan prove china,new coronavirus  nucleic acid detection ,1025
590,huwellifesciencespvt  hyderabad india,quantiplus detection  ver 20,1345
591,huwellifesciencespvt  hyderabad india,quantiplus multiplex  detection ,1344
592,hymonbio ,hymon  ,327
593,hyris ,bkit virus finder ,105
594,illumina,illumina  seq ,976
595,illumina,illumina seq ,333
596,imgenex india pvt  bhubaneswar odisha india,im ag rapid ag  card,1242
597,immuno science india pvt  puneindia ,immuno quick rapid  fordetection novel coronavirus igmigg antibodies ,1165
598,immunoscience india pvt ,immunoquick  iggrapid  device ,1169
599,immunoscience india pvt  pune maharshtra india,immunoquick  antigen rapid card  ,1127
600,immunoscience india pvt  pune maharshtra india,immunoquick 19 antigen rapid card  ,339
601,in vitro diagnostica  brazil,  ag invitest,601
602,inbios delhi india, rapid ,1173
603,inbios international ,s ag detect rapid ,657
604,inbios international ,smart detect  rrt ,"674,675"
605,inbios international 307 westlake ave north suite 300 seattle wa 98109 united states,s detect igg elisa,1077
606,inbios international 307 westlake ave north suite 300 seattle wa 98109 united states,s detect igm elisa,1078
607,indian institute of technology delhi india, probe free real time diagnostic ,1346
608,indomim private limited,rt cov2,1347
609,innodx solutions pvt ,innodetect   version 1,1348
610,innova medical group,innova antigen ,350
611,innovation scientific pty  australia,innoscreen  antigen rapid  device,347
612,innovation scientific pty  australia,innoscreen  antigen rapid  device self ,348
613,innovation scientific pty  australia,innoscreentm  iggigm rapid ,349
614,innovita tangshan biological technology ,2019 ag ,6
615,innovita tangshan biological technology  china,2019 ab  colloidal gold,4
616,integrated  dna technologies ,2019 cdc eua  500 rxn,937
617,international point of care  canada,lumivi diagnostics  2 igg rapid  ,395
618,intron biotechnology  korea loften india pvt ,lilif  multi real time ,1349
619,intron biotechnology korea loften india pvt ,lilif  reqal time ,1350
620,invitrogen bioservices private limited 2nd floorcitius block first technology place no3 epipwhitefield bengaluru bengalurubangalore urban karnataka india,covipath  ,1029
621,inzek international trading,biozek medical  antigen rapid  cassette nasopharyngeal swab,845
622,inzek international trading bv,biozek medical  iggigm rapid  cassette whole bloodserumplasma,849
623,ipsum diagnostics , 19 idx assay,140
624,ivdlab ,ivdlab  ag ,363
625,ixensor,pixotest  antigen ,502
626,ixensor  taiwan,pixotest  ag  ,503
627,j mitra  bengaluru karnataka india, ag microlisa,143
628,j mitra  bengaluru karnataka india,elisa based  microlisa detection ,1128
629,j mitra  pvt  delhi india, kawach igg microlisa,1196
630,j mitra new delhi india, ag card  ver 2,1240
631,j mitra new delhi india,elisa based  microlisa detection ,1235
632,jeev diagnostics pvt ,identi g2 ,1351
633,jiangsu bioperfectus technologies ,novel corona virus ag rapid  ,446
634,jiangsu bioperfectus technologies ,perfectq  coronavirus real time ,1154
635,jiangsu bioperfectus technologies  china, coronavirus real time ,"193,194"
636,jiangsu cowin biotech  china,novel coronavirus  2 fast nucleic acid detection ,453
637,jiangsu konsung biomedical science  technology ,konsung novel coronavirus 2019 antigen rapid diagnostic  ,857
638,jiangsu medomics medical technology  china,  antigen lfia,627
639,jiangsu mole bioscience ,  antigen  cassette,624
640,jiangsu well biotech ,orawell  ag rapid saliva  device self ,476
641,jiangsu well biotech ,orawell igmigg rapid ,477
642,jiangsu well biotech  distributed phase scientific international limited,indicaid  igmiggrapid  rebranded by phase scientific international limited,343
643,jitm skills private limited new delhi india,jitm  detection ,1352
644,jn medsys   singapore,protect  qpcr ,1353
645,joinstar biomedical technology , antigen rapid  colloidal gold immunology sample,173
646,joinstar biomedical technology , antigen rapid  latex,174
647,joinstar biomedical technology , influenza ab antigen rapid ,598
648,joysbio tianjin biotechnology , antigen rapid colloidal gold,145
649,joysbiotianjin biotechnology ,joysbio iggneutralizing antibody rapid colloidal gold,793
650,kaneka corporation,kaneka direct ,365
651,karwa enterprises private limited delhi,karwa  lamp diagnostic ,1354
652,karwa enterprises private limited delhi,karwa nucleic acid detection ,1355
653,karwa enterprises pvt  delhi india,kavach karwa igg elisa,1191
654,kephera diagnostics,kdx rapid antigen ,370
655,kh medical ,radi  ag rapid ,545
656,kh medical ,radi  detection ,546
657,kilpest 3b blackbio biotech india  bhopal india,trupcr  qpcr  version 2,1356
658,kilpest india  bhopal madhya pradesh india,trurapid  ag  ,1244
659,kimforest enterprise ,kimforest detection  v1,374
660,kjb diagnostics hyderabad telangana india, igg elisa ,1202
661,kk dnaform,smartamp  ,678
662,koch biotechnology beijing ,  antigen lateral flow assay,612
663,kogene biotech  korea  republic of,powerchek 2019 real  time ,507
664,kogene biotech  seoul korea kin diagnostics,powercheck ,1357
665,kogene biotech seoul korea,power check 2019 real time ,1358
666,kohjin bio ,kbm linecheck  flu,368
667,kohjin bio ,kbm linecheck stick type,367
668,kojin bio ,kbm line check stick type,366
669,kojin bio ,kbm linecheck ncovflu,369
670,koshbio pvt  faridabad haryana india, cov2 rapid  ,1238
671,kriya medical technologies pvt,kirida novus  real time omicrondetection ,1149
672,lab care diagnostics india pvt  mumbai india,accucare  one step ,1359
673,lab care diagnostics india pvt mumbai maharashtra india ,accucare igmigg lateral flowassay  ,1161
674,lab genomics  republic of korea siemens healthcare private limited,labgun  assay plus,1360
675,lab genomics  republic of korea siemens healthcare private limited,labgun real time ,1361
676,labcare diagnostics  valsad gujarat india, antigen lateral flow  device,169
677,labcare diagnostics  valsad gujarat india supplied mylab discovery solutions,accucare  antigen lateral  device,1216
678,labcare diagnostics india pvt  valsad gujarat india,novel coronavirus  igg elisa,1193
679,labgenomics,labgun  ,375
680,labgenomics ,labgun  real time  ,943
681,labnovation technologies ,  antigen  influenza ab rapid  ,605
682,labnovation technologies ,  antigen rapid  ,618
683,labnovation technologies 1015th floor building 1 no 68 18th road guangming hitech park tangjia community fenghuang street guangming district shenzhen 518107 china,  antigen rapid  immunochromatographyself  ,1053
684,laipac technology ,look spot  antigen rapid ,384
685,lansion biotechnology , antigen dry fluorescence immunoassay,191
686,leadgene biomedical ,leadgene antigen rapid  ,377
687,lepu medical technology beijing ,  antigen rapid colloidal gold immunochromatography,619
688,lgc biosearch technologies,biosearch technologies real time and end point  pcrtest,98
689,life assay diagnostics pty  ,test it  rapid  cassette,899
690,life technologies corporation pleasanton,taqpath  ce ivd ,928
691,life technologies corporation pleasanton,taqpath  combo  100,930
692,life technologies corporation pleasanton,taqpath  combo  1000,929
693,life technologies corporation pleasanton,taqpath  flua flub combo ,994
694,life technologies corporation usa see also thermofisher,taqpath  combo ,705
695,life technologies corporation6055 sunol blvd pleasanton california 94566 usa,taqpath  ce ivd ,1033
696,life technologies corporation6055 sunol blvd pleasanton california 94566 usa,taqpath  flua flub combo ,1030
697,lifespan biotech pvt  madhya pradesh india,ls  qpcr ,1362
698,lifespan biotech pvt  madhya pradesh india,ls  qpcr multiplex ,1363
699,lipomic healthcare pvt  new delhi,lipomic  multiplex realtimert ,1364
700,lmg  laser medical group,basall family  2019 antigen,64
701,lomina ag,  protein antigen rapid ,635
702,lords mark industries private ,lordmed  ag  ,386
703,lords mark industries pvt  mumbai maharashtra india,lordmed  ag  ,1130
704,lucira health ,lucira  all in one  ,387
705,luminex corporation,aries assay ,51
706,luminex molecular diagnostics ,nxtag  extended panel assay,466
707,luminostics ,clip  rapid antigen ,128
708,luminostics ,clip 19 smartphone read out high sensivity antigen detection ,129
709,luminultra technologies  canada,genecount  qpcr assay ,302
710,lumiquick diagnostics ,quickprofile  antigen ,539
711,lumiquick diagnostics  2946 scott blvd santa clara ca 95054 usa,quickprofile  iggigm combo  card,1058
712,lumiradx uk ,lumiradx ag ,391
713,lumiradx uk ,lumiradx rna star,392
714,lumiradx uk ,lumiradx rna star complete,393
715,lumos diagnostics,x rapid antigen ,228
716,lumos diagnostics ata rapid pathogen screening  ata lumos diagnostics  united states,x rapidantigen  ,229
717,maccura biotechnology ,  fluorescent pcr,952
718,maccura biotechnology ,mag bind rna extraction ,953
719,maccura biotechnology  china eris lifesciences ,  nucleic acid detection  flourescent pcr,1368
720,maccura biotechnology 16 baichuan road hightech zone 611731 chengdu peoples republic of china,  fluorescent ,1009
721,maccura biotechnology 16 baichuan road hightech zone 611731 chengdu peoples republic of china,  fluorescent pcr,1035
722,maccura biotechnology usa ,  fluorescent ,"629,630,631"
723,maggenome technologies pvt  emakulam,maggenome  single tube multiplex ,1369
724,maimed,medsan antigen rapid ,413
725,maimed,novel coronavirus 2019 antigen colloidal gold,456
726,malcom company limited,standard  ag ,693
727,mammoth biosciences ,  detectrreagent ,628
728,materialsmachines corporation of america dba matmacorp ,matmacorp  2sf ,410
729,med achievers private limited noida uttar pradesh india,genome analyst detection ,1370
730,median diagnostics ,mdx  ag rapid ,411
731,medical  biological laboratories ,mebright ,412
732,medical diagnostech pty , antigen rapid acute infection ,170
733,medical diagnostech pty ,md  antigen ,1008
734,medical diagnostech pty ,md  iggigm rapid ,915
735,medical innovation ventures sdn bhd mediven,prodetect  antigen rapid ,511
736,medical innovation ventures sdn bhd mediven,prodetect  antigen rapid  oral fluid,512
737,medical innovation ventures sdn bhd mediven,prodetect  antigen rapid self ,509
738,medical innovation ventures sdn bhd mediven,prodetect  antigen rapid self  saliva,510
739,medicon ,trueline  ag rapid ,726
740,medix biochemica,actim  ,22
741,medizinische labordiagnostika ag deutschland ,  real time ,923
742,medizinische labordiagnostika ag deutschland germany,anti elisa iga,894
743,medizinische labordiagnostika ag deutschland germany,anti elisa igg,895
744,medsource ozone biomedicals faridabad haryana, ,1371
745,medsource ozone biomedicals faridabad haryana,ozofind  cov2 ,1372
746,medsource ozone biomedicalsharyana india , igmigg rapid  ver 20 ,1164
747,medzome lifesciences pvt  solan himachal pradesh india,futurecare  ag detection  ,"295,1229"
748,megna health ,rapid  igmigg combo  ,551
749,meridian,revogene assay,582
750,meril diagnostics,meril  one step ,969
751,meril diagnostics pvt ,meriscreen  antigen detection ,415
752,meril diagnostics pvt  gujarat india,meril  one step ,1373
753,meril diagnostics pvt  gujarat india,one step   lyophilized,1374
754,meril diagnostics pvt  gujarat india,one step   lyophilized target orf1ab and genes,1375
755,meril diagnostics pvt  vapi gujarat india,anti human igg elisa,1195
756,meril diagnostics pvt  vapi gujrat india, antigen detection  fia immunofluorescence analyzer chf200,1132
757,meril diagnostics vapi gujarat india, antigen detection ,1133
758,meril diagnosticspvt ,covifind  rapid ag self ,1113
759,merlin biomedical xiamen ,  antigen rapid  cassette,615
760,mesa biotech ,accula ,19
761,metadesign solutions pvt  haryana,pathkits mds  detect rtpcr ,1376
762,metas biomedical ,immtek  antigen rapid ,334
763,mexacare diagnostics gmbh,mexacare  antigen schnellltest,417
764,mexacare diagnostics gmbh,mexacare influenza ab ag combo schnelltest,416
765,mico biomed ,veri  ag rapid ,733
766,mico biomed ,veri  multiplex detection ,1377
767,micobiomed ,veri 316  detection system,1155
768,micobiomed ,veri 316 detection ,"734,735"
769,micobiomed  korea poct services pvt ,veri  multiplex detection ,1378
770,micobiomed  korea poct services pvt ,veri n qm  multiplex detection ,1379
771,microbio pty  australia bizsoch consultants llp,microbio infectid 19 catmb 1,1380
772,microlyn healthcare pvt  neelankarai tamilnadu india,  igg elisa,1212
773,mirxes,mirxes fortitude 21,963
774,mizuho medy ,quick chaser  flu,533
775,mizuho medy ,quick chaser  flu b,534
776,mizuho medy ,quick chaser auto  ,532
777,mizuhomedy ,fuji dry chem immno ag cartridge  ag,292
778,mizuhomedy ,quick chaser auto  2,531
779,mizuhomedy ,smart gene  ,676
780,mjbiopharmpvt ,mj coronavirus  qpcr ,1366
781,mobidiag oyfinland,novodiag  concept,955
782,mobiledetect bio ,mobiledetect bio bcc19 md  bio bcc19  ,419
783,molab gmbh, antigen prefilled buffer,188
784,mologic ,mologic  rapid ,421
785,mologic  bedford technology park thurleigh bedford mk44 2ya united kingdom, antigen rapid diagnostic ,1098
786,mp biomedicals asia pacific   singapore,rapid antigen  card,558
787,ms lorven biologics pvt ,saic 19 ag ,1228
788,ms lorven biologics pvt  hyderabad telangana india developed ssihl anantpur,saic 19 ag ,1131
789,ms sd biosensor  south korea,standard   19 igmigg duotest ,1187
790,ms siemens healthcare private limited mumbai,imdx multiplex orf1abn gene rtpcr assay,1367
791,mylab discovery solutions  pune maharashtra india,coviselftm pathocatch  otc antigen lf device home  ,1134
792,mylab discovery solutions  pune maharashtra india,gazelle pathocatch  fia  ,1239
793,mylab discovery solutions pvt ,coviself pathocatch  otc ag detection  home based self ,231
794,mylab discovery solutions pvt ,coviswifttm  plus rapid  poct,1381
795,mylab discovery solutions pvt ,patho detect,1382
796,mylab discovery solutions pvt ,pathocatch  ag detection ,492
797,mylab discovery solutions pvt ,pathodetect  qualitative  ,985
798,mylab discovery solutions pvt ,pathodetect coronavirus  qualitative ,1384
799,mylab discovery solutions pvt ,pathodetect two tube assay,1383
800,mylab discovery solutions pvt ,truemix,1385
801,nal von minden gmbh,nadal  ag,424
802,nal von minden gmbh germany,nadal  iggigm  pack 10,"425,426,427,428"
803,nanjing liming bioproducts ,strongstep antigen ,696
804,nanjing norman biological technology ,nanjing norman  igm igg rapid  ,907
805,nanjing vazyme medical technology ,kifatest  antigen,852
806,nanjing vazyme medical technology  china biotime healthcare pvt ,2019 novel coronavirus 2019 triplex qpcr detection ,1386
807,nanjing vazyme medical technology  floor 13 building c2 red maple park of technological industry kechuang road economy  technology development zone nanjing china,2019 novel coronavirus 2019 triplex qpcr detection ,1028
808,nanjing weiyun biotechnology ,  antigen rapid latex immunochromatography,622
809,nanoditech corp,nano check  antigen ,429
810,nanoditech corporation,fluoro check  antigen ,283
811,nanoentek ,frend  ag,287
812,nanoentek ,frend  ag  flu ab,288
813,nantong diagnos biotechnology ,nantong diagnos  antigen colloidal gold cassette,1006
814,nantong diagnos biotechnology 2nd floor building 6 electronic information industrial park no 2 haiyang south road chengnan street 226500 rugao city jiangsu prove peoples republic of china,2019 new coronavirus antibody  colloidal gold,1097
815,nantong diagnos biotechnology 2nd floor building 6 electronic information industrial park no 2 haiyang south road chengnan street 226500 rugao city jiangsu prove peoples republic of china,2019 new coronavirus antigen  colloidal gold,1096
816,nantong egens biotechnology ,  rapid antigen  ,648
817,nantong egens biotechnology  china, iggigm rapid  ,204
818,national electronics complex of pakistanplot 23 street 6 sector h91 islamabadal lab necop plot 23 street 6 sector h91 islamabad, raid rapidartificial intelligencedetection,776
819,ndfos ,nd  ag ,431
820,ndfos  sinwonro,smart diagnostic  antigen ,848
821,neodx biotech labs,neocheck  rapid antigen  self ing,432
822,neodx biotech labs private limited india,x assure detection ,1387
823,neodx biotech labs private limited india,x detect detection ,1388
824,neodx biotech labs private limited india,x direct plex detection ,1389
825,neodx biotech labs private limited india,x mplex 3nc detection ,1390
826,neodx biotech labs private limited india,xtm mplex 3nr detection ,1391
827,neodx biotech labs private limited india dss imagetech pvt ,x mplex 4r detection ,1392
828,neodx biotech labs pvt bengaluru karnataka india,neocheck  rapid antigen  self inghome  ,1135
829,neumodx molecular ,neumodx strip,434
830,new gene hangzhou bioengineering ,  influenza  influenza detection ,150
831,new gene hangzhou bioengineering , antigen detection  nasopharyngeal swab sputum samples,167
832,new gene hangzhou bioengineering ,kiamgenics  rapid antigen  ,373
833,new gene hangzhou bioengineering  room 1606 floor 16 building 5 688 binan road changhe street binjiang district hangzhou city zhejiang prove r china, antigen detection ,"1071,1072,1070"
834,newscen coast bio pharmaceutical  china, iggigm rapid  cassette,202
835,nextgen in vitro diagnostics limited faridabad haryana india,covscan  co 2 antigen detection ,1231
836,nextgen invitro diagnostics pvt ,covscan antigen detection ,232
837,nextgeninvitro diagnostics pvt haryana,covscan qpcr ,1393
838,ng biotech,ng  ag,438
839,ng biotech,ninonasal ,441
840,ng biotech,ninonasal self ,440
841,nichirei biosciences ,immunofine  ,338
842,ningbo health gene technologies ,  virus detection diagnostic  qpcr method version 10,1394
843,ningbo health gene technologies  china,  virus detection diagnostic ,653
844,nirmidas biotech ,midaspottm  antibody combo detection ,418
845,nirmidas biotech ,nirmidas   igmigg antibody detection ,442
846,norgen biotek corp canada, taqman  erdrp genes dx,216
847,norgen biotek corp canada,2019 taqman  dx,"13,14"
848,novatecimmunodiagnostica germany eurofins amar immunodiagnostics pvt ,gsd novaprime  pcr,1395
849,novegent,novegent  antigen rapid  ,445
850,nowdiagnostics ,adexusdx  ,24
851,ntbio diagnostics  canada,ntbio one step rapid   iggigm antibody ,464
852,nucleus diagnosys llp ahmedabad gujarat india, rapid antigen  ,1245
853,nucleus diagnosys llp gujarat india,  triplex ,1396
854,nulife care,abcheck rapid antigen self  nasal,1114
855,nulifecare noida,nulife  ag rapid  device,465
856,nulifecare noida up india,abchek  igmiggantibody rapid  ,1162
857,omega biotek ,mag bind viral dnarna 96  12 96 preps m6246 03,938
858,operon sa,simplestick ag ,671
859,opti medical systems ,opti ,973
860,opti medical systems ,opti pcrtest,"474,475"
861,opti medical systems 235 hembree park drive roswell georgia 30076 usa,opti ,1102
862,optolane technologies ,kaira 2019 detection ,364
863,orasure technologies ,inteliswab  rapid ,357
864,orasure technologies ,inteliswab  rapid  pro,"358,359,360,1156"
865,orasure technologies ,inteliswab  rapid  rx,361
866,ortho clinical diagnostics,vitros immunodiagnostic products antigen,742
867,ortho clinical diagnostics ,vitros immunodiagnostic products antigen reagent pack,743
868,ortho clinical diagnostics mumbai maharashtra india,vitros ag  clia  vitros 3600,1136
869,ortho clinical diagnosticsmumbai maharashtraindia, vitros agtest clia vitros 3600,1227
870,osang health care south korea,gene finder ,1397
871,osang healthcare,genefinder  plus real ampkit,960
