,manufacturer_keywords,product_keywords,Unique Identifier 
91,agilent technologies ,agilent qrt dx ,999
92,ait biotech  ,abtes  qpcr ,935
93,aitbiotech   singapore hiddenite beverages private limited,abtes  qpcr  v11,1269
94,aitbiotech   singapore hiddenite beverages private limited,abtestm  qpcr ,1270
95,aivd biotech ,  antigen detection rapid lateral flow  colloidal gold based,607
96,aivd biotech ,  antigen detection rapid lateral flow  latex bead based lateral flow,608
97,ajay biotech india ,pathofind  realtime ,1271
98,alamar tecno cientifica a,antigen quick ,43
99,alchem diagnostics coimbatore, one step multiplex ,1272
100,alcotech  ,fastep  antigen rapid  device nasopharyngeal oropharyngeal swab,279
101,alfa scientific designs ,instant view plus  antigen ,353
102,alfresa pharma corporation,arsonic  ag,54
103,alpine biomedicals ambalaharyana india ,one step corona virus igmigg antibody  ,1163
104,alpine biomedicals pvt  ambala haryana india,alpine  antigen rapid  ,"37,1223"
105,alpine biomedicals pvt  ambala haryana india,alpine anti igg elisa ,1204
106,altona diagnostics germany,realstar  10,1273
107,altona diagnostics gmbh,realstar us,570
108,ameda labordiagnostik gmbh,amp rapid  ag,39
109,amedica sa,amela  antigen ,38
110,ammagen tamil nadu,ammagen ,1274
111,amonmed biotechnology ,influenza virusinfluenza virus rare earth nano fluorescence immunochromatography,222
112,amoy diagnostics,amoydx novel coronavirus 2019 detection ,977
113,amt   singapore,resolute 20,579
114,angstrom biotech pvt ,antigen  ,44
115,angstrom biotech pvt  alwar rajasthan india,angcard  rapid antigen  ,1220
116,angstrom biotech pvt  rajasthan,angpcr 2019 ncov,1275
117,angstrom biotechpvt ,angcardhome  ,1112
118,anhui deepblue medical technology , antigen colloidal gold  saliva,148
119,anhui deepblue medical technology , antigen colloidal gold  saliva self ,149
120,anhui deepblue medical technology , antigen colloidal gold nasal swab self ,147
121,anhui deepblue medical technology , antigen colloidal gold np,146
122,anhui formaster biosci ,fm new coronavirus  antigen rapid ,829
123,anomalous materials  ,severe acute respiratory syndrome coronavirus 2 antigen detection  colloidal gold based,660
124,anp technologies ,nids  antigen rapid  ,439
125,apollo biomedical ,new type coronavirus  influenza virus  influenza virus detection ,437
126,apollo biomedical ,novel coronavirus antigen detection  nasal swabsputum sample,460
127,apollo biomedical ,novel coronavirus antigen detection nasal swab,458
128,apollo biomedical ,novel coronavirus antigen detection sputum sample,459
129,applied biocode ,biocode assay,84
130,applied dna sciences,linea  real time assay  assay ,"380,381,382"
131,arcdia international ,maripoc  ,405
132,arista biotech,arista  antigen rapid ,52
133,arista biotech   singapore,arista  antigenrapid ,53
134,arkray factory ,identity pack  ,331
135,arkray industry lot 22 phase 1a first philippine industrial park brgy sta anastacia sto tomas batangas,  detection primer probe set reagent densy pack universal detection system,1011
136,arkray industry lot 22 phase 1a first philippine industrial park brgy sta anastacia sto tomas batangas,i densy pack universal reagent densy pack universal detection system,1010
137,artron bioresearch artron laboratories ,artron  antigen  ,56
138,artron laboratories ,star diagnostic plus  iggigm cassette  whole bloodserumplasma,839
139,artron laboratories  canada,artron  antigen ,55
140,asan pharmaceutical ,asan easy ag,57
141,aspen laboratories pvt  hyderabad telangana india,aspen igg elisa ,1197
142,aspen laboratories pvt  new delhi deep meditech pvt ,aspen nucelic acid detection fluorescent probe method,1276
143,assure tech hangzhou ,assure  iggigm rapid  device,58
144,assure tech hangzhou ,assure  iggigm rapid  device rebranded as ecotest  iggigm rapid  device,59
145,assure tech hangzhou ,assure  iggigm rapid  device rebranded as fastep  iggigm rapid  device,60
146,assure tech hangzhou ,ecotest iggigm rapid  device whole bloodserumplasma,791
147,assure tech hangzhou  china, antigen rapid  device,184
148,assure tech hangzhou  china,ecotest  antigen nasal  ,253
149,assure tech hangzhou  china,ecotest  antigen saliva  ,254
150,assure tech hangzou ,ecotest  neutralizing antibody fia whole bloodserumplasma,850
151,athenese dx,trustline  ag rapid ,728
152,athenesedx private limited chennai,trustline  agrapid ,1120
153,athenesedx private limited chennai tamilnadu india,trustline  ab rapid ,1174
154,athenesedx private limited tamil nadu,aridia  real time detection ,1277
155,atila biosystems ,iamp  detection ,328
156,atila biosystmes  ,iamp  detection ,925
157,atlaslink beijing technology ,nova  antigen rapid colloidal gold immunochromatography,443
158,atlaslink beijing technology  china,nova  iggigm antibody  colloidal gold,444
159,atomo diagnostics limited,atomorapid igmigg antibody ,63
160,augurix sa,simtomax coronacheck antigen,673
161,aura biotechnologies private limited chennai, 19 auras coronavirus  real time detection ,1278
162,avacta life sciences ,affidx lateral flow antigen ,27
163,aviencebiomedicals pvt  delhi,avien covi quick  hid rtqpcr assay,1279
164,aviencebiomedicals pvt  delhi,avienbio  assay,1280
165,axisshield diagnostics  scotland,panbio igg elisa,1213
166,axiva sichem biotech sonipat,one step  ,1281
167,bag diagnostics germany shiva scientific company new delhi,viroq e gene  rdrp,1282
168,bbb ,mark  antigen ,406
169,bbb  distributed celltrion usa ,sampinute  antigen mia,594
170,beckman coulter  ireland,beckman coulter immunoglobulin igg antibody ivd  chemi  luminescent immunoassay,910
171,beckman coulter 250 kraemer boulevard brea ca 92821 usa,access igg,"1084,1085"
172,beckman coulter 250 kraemer boulevard brea ca 92821 usa,access igm,"1083,1086"
173,becton dickinson  company bd,bd veritor at home  ,67
174,becton dickinson  company bd,bd veritor system rapid detection  flu ab,69
175,becton dickinsoncompany,bd  rapid detection  ,65
176,becton dickinsoncompany,bd reagents,66
177,becton dickinsoncompany,bd veritor system rapid detection  ,68
178,becton dickinsoncompany  7 loveton circle sparks maryland 21152 usa,bd  flu bd max syste,1073
179,beijing abace biology , viral antigen colloidal gold immunochromatography,218
180,beijing abace biology , viral antigen elisa,219
181,beijing applied biological technologies ,multiple real time  detection 2019 ncov,1151
182,beijing applied biological technologies  xabt,multiple real time  detection 2019 ncov,422
183,beijing applied biological technologies room a204 no 29 shengmingyuan road science park changping district 102206 beijing china,multiple real time  detection 2019 ncov,1066
184,beijing core technology , ag ,160
185,beijing core technology , saliva ag ,215
186,beijing diagreat biotechnologies ,2019 antigen rapid colloidal gold assay,9
187,beijing hotgen biotech co9 building no9 tianfu street daxing district beijing 102600 pr china,novel coronavirus 2019 antigen  colloidal gold,1101
188,beijing jinwofu bioengineering technology co,novel coronavirus antigen rapid  ,455
189,beijing kewei clinical diagnostic reagent ,kewei  antigen rapid colloidal gold,371
190,beijing kewei clinical diagnostic reagent ,kewei  antigen rapid fluorescence,372
191,beijing lepu medical technology ,2019 antigen rapid colloidal gold immunochromatography,10
192,beijing lepu medical technology ,reiged diagnostics nucleic acid fluorescence probe method,814
193,beijing nagene diagnosis reagent ,multiple real time  detection 2019 ncov,1152
194,beijing north institute of biotecnology co,bnibt  antigen repid ,837
195,beijing savant biotechnology ,new coronavirus n protein detection  fluorescence immunochromatography,436
196,beijing tigsun diagnostics ,tigsun  antigen rapid  fia,719
197,beijing tigsun diagnostics ,tigsun  antigen saliva rapid ,720
198,beijing tigsun diagnostics ,tigsun flu ab  ag combo ,721
199,beijing tigsun diagnostics ,tigsun flu ab rsv  ag combo ,722
200,beijing wantai biological pharmacy enterprise ,wantai ,753
201,beijing wantai biological pharmacy enterprise ,wantai ag elisa,749
202,beijing wantai biological pharmacy enterprise ,wantai antigen rapid  colloidal gold,"751,1153"
203,beijing wantai biological pharmacy enterprise ,wantai antigen rapid  fia,752
204,beijing wantai biological pharmacy enterprise  china,wantai ab rapid  ,"747,748"
205,beijing wantai biologicalpharmacy enterprise  china,wantai ag rapid  colloidal gold,750
206,beijing zhangjian antai diagnostic technology china aura medical devices pvt ,corona virus  rapid ,1175
207,bgi biotechnology wuhan building b2 b1 zone bcd wuhan national bio industry base no666 gaoxin avenue east lake hightech development zone wuhan hubei 430075 china,real time fluorescent  detecting 2019 ncov,1056
208,bgi europe as,real time fluorescent detecting 2019 ncov,567
209,bgi europe as distributed bgi health au company pty ,real time fluorescent detecting  2 gene,569
210,bgi genomics ,real time fluorescent detecting 2019 ncov,568
211,bgi health hk  shenzhen huada gene technology ,new coronavirus 2019 antigentesting  fluorescent immunoanalysis,435
212,bhat biotech india pvt ,geneasy  ,1283
213,billiontoone ,qsanger  assay,516
214,bio lab diagnostics pvt ,rapid  ag ,549
215,biocan diagnostics ,tell me fast 19 antigen ,715
216,biocan diagnostics ,tell me fast novel coronavirus  iggigm antibodytest,716
217,biocore ,biocore 2019 real time ,"85,86"
218,bioeksen rd technologies ,bio speedy direct qpcr  ,"77,78"
219,bioeksen rd technologies  distributed bioexsen gmbh,bio speedy direct qpcr  rebranded bioexsen pcr,80
220,bioer technology ,  nucleic acid detection fluorescence pcr,933
221,biofire defense ,biofire  ,"919,92,93"
222,biofire diagnostic  515 colorow drive salt lake city utah 84108 usa,biofire respiratory panel 21 rp21,1046
223,biofire diagnostics ,biofire respiratory panel 21 rp21,91
224,biofire diagnostics  ,biofire respiratory panel,920
225,biofootprints healthcare pvt ,mytest  ag ,"423,1121"
226,biogenex hyderabad, triplex direct detection ,1284
227,biogenix  pvt  lucknow,biogenix  one step pcr,1285
228,biogenomics limited thane india,bio  id qualitative detection  version 2,1286
229,biogenomics limited thane india,bio id ern corona virus single tube multiplex detection ,1287
230,biogx,biogx hmp n1 n2  rnase multiplex,964
231,biogx ,biogx xfree  direct pcr,94
232,biogx al usa,xfreetm  direct pcrextraction free multi platform detection  pre extracted rna,992
233,biohit healthcare hefei ,  antigen assay  colloidal gold method,606
234,biohit healthcare hefei ,  antigen rapid fluorescence immunochromatography,621
235,biohit healthcare hefei ,  igmiggantibody  ,632
236,biohit healthcare hefei ,hough  home ,323
237,biohit healthcare hefei  china,  antigen rapid  colloidal gold method,614
238,biohit healthcare hefei building d9 innovation park no800 west wangjiang road hightech zones hefei anhui prove pr china,biohit igm igg antibody  ,1039
239,biolab diagnostics india pvt  mumbai maharashtra india,rapid  ag ,1122
240,biolidics ,clearepi antigen rapid ,125
241,biolytical laboratories  canada,insti  antibody ,356
242,biomedomics ceivd china,biomedomics  igm iggrapid  ,1186
243,biomeme ,biomeme  s,995
244,biomeme ,biomeme go  strips,95
245,biomeme ,biomeme real  time pcr,96
246,biomerieux sa 376 chemin de orme 69280 marcy etoile francebiomerieux sa 138 rue louis pasteur parc technologique delta sud 09340 verniolle france,argene  genereal timeamplification anddetection ,774
247,biomerieux sa376 chemin de iorme 69280 marcy ietoile francebiomerieux sa 138 rue louis pasteur parc technologique delta sud 09340 verniollefrance,argene  respir gene real time detectionkitcode 423732,773
248,biomerieux sa376 chemin de lorme 69280 marcy letoilefrance,vidas  igg 9cogcode423834,785
249,biomerieux sa376 chemin de lorme 69280 marcy letoilefrance,vidas  igm 9com,786
250,biomrieux sa,  gene,639
251,biomrieux sa,argene r  gene,49
252,bioneer corporation south korea effibar india private limited,accupower real time ,1288
253,bioneer corporation south korea wevio global private limited,accupower multiplex real time ,1289
254,bioneer corporation south korea wevio global private limited,accupower real time ,1290
255,bioneer corporation811 munpyeongseoro daedeokgu daejeon 34302 republic of korea,accupower multiplexreal time size 100 scode scvm 2112,764
256,bionote,nowcheck  igg igm,900
257,bionote ,nowcheck  ag ,462
258,bionote ,nowcheck  antigen ,463
259,bionote 22 samsung 1ro4gil hwaseongsi gyeonggido 18449 republic of korea,nowcheck  antigen ,1051
260,biorad 3 boulevard raymond poare 92430 marneslaconquette france,platelia total abassay,782
261,biorad laboratories ,2019 cdc ddpcr triplex probe assay,948
262,biorad laboratories ,bio rad ddpcr ,76
263,biorad laboratories ,bio rad reliance assay ,989
264,biorad laboratories  4000 alfred nobel drive 94547 hercules california usa,reliance flu flu ,1034
265,biosci healthcare bhopal madhya pradesh india,biosci true detect  ag rapid  ,1246
266,biosci healthcare madhya pradesh,biosci true detect  real time ,1291
267,bioscience tianjin diagnostic technology ,bioscience tianjin novel coronavirus 2019 antigen rapid ,97
268,biosewoom,real 2019 detection ,566
269,biospeedia sas,19speed antigen,226
270,biosynex swiss sa,biosynex  ag,100
271,biosynex swiss sa,biosynex  ag bss,99
272,biosystems diagnostics private limited,concepta qpcr ,1292
273,biosystems diagnostics private limited,coviplus qpcr ,1293
274,biosystems diagnostics pvt ,concepta  multiplex ,1294
275,bioteke corporation wuxi ,bioteke antigen colloidal gold method,802
276,bioteke corporation wuxl 4th floor d52nd floor d3  1st2nd floor d16 no1719 huishan avenue wuxi jiangsu china,  nucleic acid ivd  nucleic acid technique nat,1024
277,biotical health,biotical ag card ,101
278,biotns, pna ,213
279,biozek medical,biozek  antigen rapid ,104
280,biozentech ,bz  ag ,106
